Package            Version      Latest    Type
------------------ ------------ --------- -----
aiohttp            3.13.3       3.13.5    wheel
certifi            2026.2.25    2026.4.22 wheel
charset-normalizer 3.4.6        3.4.7     wheel
click              8.3.1        8.3.3     wheel
cloudpathlib       0.23.0       0.24.0    wheel
contourpy          1.2.1        1.3.2     wheel
dateparser         1.1.8        1.4.0     wheel
fastapi            0.95.2       0.136.1   wheel
filelock           3.25.2       3.29.0    wheel
fsspec             2026.2.0     2026.4.0  wheel
grpcio             1.78.0       1.80.0    wheel
gruut              2.2.3        2.4.0     sdist
hf-xet             1.4.2        1.5.0     wheel
huggingface_hub    0.36.2       1.14.0    wheel
idna               3.11         3.15      wheel
jsonlines          1.2.0        4.0.0     wheel
librosa            0.10.0       0.11.0    wheel
llvmlite           0.46.0       0.47.0    wheel
markdown-it-py     4.0.0        4.2.0     wheel
matplotlib         3.8.4        3.10.9    wheel
more-itertools     10.8.0       11.0.2    wheel
mpmath             1.3.0        1.4.1     wheel
networkx           2.8.8        3.4.2     wheel
numba              0.64.0       0.65.1    wheel
numpy              1.22.0       2.2.6     wheel
openai-whisper     20231117     20250625  sdist
packaging          26.0         26.2      wheel
pandas             1.5.3        2.3.3     wheel
pillow             12.1.1       12.2.0    wheel
pip                26.0.1       26.1.1    wheel
platformdirs       4.9.4        4.9.6     wheel
propcache          0.4.1        0.5.2     wheel
pydantic           1.10.26      2.13.4    wheel
pydantic_core      2.41.5       2.46.4    wheel
Pygments           2.19.2       2.20.0    wheel
python-dotenv      1.0.1        1.2.2     wheel
python-multipart   0.0.9        0.0.28    wheel
pytz               2026.1.post1 2026.2    wheel
regex              2026.2.28    2026.5.9  wheel
requests           2.32.5       2.34.0    wheel
rich               14.3.3       15.0.0    wheel
scipy              1.11.4       1.15.3    wheel
setuptools         69.5.1       82.0.1    wheel
smart_open         7.5.1        7.6.1     wheel
soxr               1.0.0        1.1.0     wheel
spacy              3.8.13       3.8.14    wheel
starlette          0.27.0       1.0.0     wheel
SudachiDict-core   20260116     20260428  wheel
SudachiPy          0.6.10       0.6.11    wheel
sympy              1.13.1       1.14.0    wheel
thinc              8.3.13       9.1.1     wheel
tokenizers         0.15.2       0.23.1    wheel
torch              2.5.1+cu118  2.11.0    wheel
torchaudio         2.5.1+cu118  2.11.0    wheel
transformers       4.36.2       5.8.1     wheel
typer              0.24.1       0.25.1    wheel
tzdata             2025.3       2026.2    wheel
umap-learn         0.5.7        0.5.12    wheel
urllib3            2.6.3        2.7.0     wheel
uvicorn            0.22.0       0.46.0    wheel
Werkzeug           3.1.7        3.1.8     wheel
wheel              0.46.3       0.47.0    wheel
